Sample in Buffer,Sample in Window,TRIGGER,ads422x_db[11:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
0,0,0,22
1,1,0,20
2,2,0,22
3,3,0,20
4,4,0,14
5,5,0,6
6,6,0,4
7,7,0,11
8,8,0,16
9,9,0,14
10,10,0,13
11,11,0,8
12,12,0,19
13,13,0,11
14,14,0,13
15,15,0,11
16,16,0,12
17,17,0,12
18,18,0,16
19,19,0,22
20,20,0,22
21,21,0,19
22,22,0,9
23,23,0,11
24,24,0,7
25,25,0,11
26,26,0,17
27,27,0,10
28,28,0,8
29,29,0,10
30,30,0,9
31,31,0,11
32,32,0,24
33,33,0,15
34,34,0,5
35,35,0,15
36,36,0,7
37,37,0,8
38,38,0,7
39,39,0,11
40,40,0,11
41,41,0,9
42,42,0,16
43,43,0,9
44,44,0,5
45,45,0,14
46,46,0,14
47,47,0,15
48,48,0,17
49,49,0,3
50,50,0,2
51,51,0,9
52,52,0,15
53,53,0,13
54,54,0,17
55,55,0,14
56,56,0,8
57,57,0,6
58,58,0,8
59,59,0,15
60,60,0,10
61,61,0,13
62,62,0,20
63,63,0,16
64,64,0,13
65,65,0,6
66,66,0,20
67,67,0,8
68,68,0,15
69,69,0,16
70,70,0,8
71,71,0,2
72,72,0,15
73,73,0,16
74,74,0,15
75,75,0,17
76,76,0,18
77,77,0,19
78,78,0,17
79,79,0,13
80,80,0,8
81,81,0,9
82,82,0,14
83,83,0,10
84,84,0,14
85,85,0,4
86,86,0,25
87,87,0,19
88,88,0,7
89,89,0,16
90,90,0,16
91,91,0,23
92,92,0,16
93,93,0,6
94,94,0,17
95,95,0,10
96,96,0,16
97,97,0,8
98,98,0,15
99,99,0,7
100,100,0,10
101,101,0,15
102,102,0,8
103,103,0,7
104,104,0,11
105,105,0,18
106,106,0,4
107,107,0,2
108,108,0,11
109,109,0,8
110,110,0,7
111,111,0,19
112,112,0,17
113,113,0,-1
114,114,0,12
115,115,0,12
116,116,0,6
117,117,0,12
118,118,0,11
119,119,0,9
120,120,0,6
121,121,0,12
122,122,0,14
123,123,0,14
124,124,0,9
125,125,0,-4
126,126,0,10
127,127,0,4
128,128,0,5
129,129,0,9
130,130,0,11
131,131,0,13
132,132,0,20
133,133,0,9
134,134,0,4
135,135,0,9
136,136,0,13
137,137,0,10
138,138,0,10
139,139,0,5
140,140,0,8
141,141,0,15
142,142,0,7
143,143,0,11
144,144,0,15
145,145,0,4
146,146,0,2
147,147,0,12
148,148,0,16
149,149,0,8
150,150,0,10
151,151,0,13
152,152,0,15
153,153,0,8
154,154,0,10
155,155,0,12
156,156,0,11
157,157,0,18
158,158,0,14
159,159,0,24
160,160,0,10
161,161,0,19
162,162,0,10
163,163,0,17
164,164,0,17
165,165,0,10
166,166,0,13
167,167,0,10
168,168,0,18
169,169,0,13
170,170,0,5
171,171,0,18
172,172,0,21
173,173,0,12
174,174,0,12
175,175,0,15
176,176,0,1
177,177,0,18
178,178,0,15
179,179,0,5
180,180,0,9
181,181,0,13
182,182,0,18
183,183,0,9
184,184,0,22
185,185,0,9
186,186,0,10
187,187,0,6
188,188,0,2
189,189,0,5
190,190,0,11
191,191,0,7
192,192,0,3
193,193,0,2
194,194,0,8
195,195,0,3
196,196,0,1
197,197,0,-2
198,198,0,10
199,199,0,10
200,200,0,4
201,201,0,20
202,202,0,9
203,203,0,16
204,204,0,0
205,205,0,2
206,206,0,12
207,207,0,13
208,208,0,3
209,209,0,13
210,210,0,13
211,211,0,19
212,212,0,4
213,213,0,3
214,214,0,9
215,215,0,6
216,216,0,13
217,217,0,9
218,218,0,1
219,219,0,4
220,220,0,15
221,221,0,18
222,222,0,37
223,223,0,18
224,224,0,21
225,225,0,13
226,226,0,17
227,227,0,9
228,228,0,9
229,229,0,21
230,230,0,9
231,231,0,13
232,232,0,19
233,233,0,10
234,234,0,26
235,235,0,19
236,236,0,6
237,237,0,16
238,238,0,26
239,239,0,23
240,240,0,9
241,241,0,22
242,242,0,13
243,243,0,21
244,244,0,18
245,245,0,10
246,246,0,19
247,247,0,12
248,248,0,14
249,249,0,14
250,250,0,20
251,251,0,21
252,252,0,11
253,253,0,7
254,254,0,22
255,255,0,22
256,256,0,21
257,257,0,11
258,258,0,7
259,259,0,21
260,260,0,3
261,261,0,14
262,262,0,8
263,263,0,12
264,264,0,16
265,265,0,9
266,266,0,5
267,267,0,6
268,268,0,10
269,269,0,11
270,270,0,19
271,271,0,6
272,272,0,5
273,273,0,21
274,274,0,11
275,275,0,18
276,276,0,17
277,277,0,12
278,278,0,6
279,279,0,1
280,280,0,6
281,281,0,10
282,282,0,8
283,283,0,16
284,284,0,-2
285,285,0,-4
286,286,0,4
287,287,0,0
288,288,0,10
289,289,0,7
290,290,0,9
291,291,0,9
292,292,0,16
293,293,0,17
294,294,0,10
295,295,0,11
296,296,0,5
297,297,0,11
298,298,0,11
299,299,0,24
300,300,0,18
301,301,0,13
302,302,0,10
303,303,0,15
304,304,0,16
305,305,0,11
306,306,0,16
307,307,0,13
308,308,0,18
309,309,0,14
310,310,0,20
311,311,0,12
312,312,0,12
313,313,0,5
314,314,0,11
315,315,0,10
316,316,0,8
317,317,0,11
318,318,0,9
319,319,0,15
320,320,0,16
321,321,0,14
322,322,0,18
323,323,0,18
324,324,0,26
325,325,0,16
326,326,0,16
327,327,0,12
328,328,0,26
329,329,0,6
330,330,0,15
331,331,0,15
332,332,0,10
333,333,0,7
334,334,0,15
335,335,0,19
336,336,0,5
337,337,0,12
338,338,0,9
339,339,0,13
340,340,0,14
341,341,0,10
342,342,0,-5
343,343,0,0
344,344,0,10
345,345,0,12
346,346,0,15
347,347,0,15
348,348,0,21
349,349,0,12
350,350,0,11
351,351,0,20
352,352,0,8
353,353,0,4
354,354,0,5
355,355,0,4
356,356,0,13
357,357,0,15
358,358,0,4
359,359,0,9
360,360,0,8
361,361,0,9
362,362,0,15
363,363,0,-1
364,364,0,-2
365,365,0,9
366,366,0,13
367,367,0,21
368,368,0,18
369,369,0,5
370,370,0,2
371,371,0,9
372,372,0,4
373,373,0,7
374,374,0,10
375,375,0,5
376,376,0,14
377,377,0,10
378,378,0,2
379,379,0,3
380,380,0,-2
381,381,0,1
382,382,0,-4
383,383,0,15
384,384,0,4
385,385,0,12
386,386,0,10
387,387,0,17
388,388,0,11
389,389,0,9
390,390,0,6
391,391,0,12
392,392,0,18
393,393,0,22
394,394,0,23
395,395,0,18
396,396,0,17
397,397,0,16
398,398,0,11
399,399,0,14
400,400,0,9
401,401,0,12
402,402,0,5
403,403,0,12
404,404,0,11
405,405,0,14
406,406,0,12
407,407,0,20
408,408,0,16
409,409,0,7
410,410,0,13
411,411,0,8
412,412,0,7
413,413,0,17
414,414,0,26
415,415,0,21
416,416,0,26
417,417,0,12
418,418,0,22
419,419,0,13
420,420,0,9
421,421,0,11
422,422,0,12
423,423,0,7
424,424,0,4
425,425,0,7
426,426,0,8
427,427,0,16
428,428,0,16
429,429,0,19
430,430,0,8
431,431,0,5
432,432,0,4
433,433,0,5
434,434,0,6
435,435,0,19
436,436,0,6
437,437,0,10
438,438,0,16
439,439,0,10
440,440,0,15
441,441,0,14
442,442,0,-3
443,443,0,2
444,444,0,8
445,445,0,11
446,446,0,7
447,447,0,4
448,448,0,15
449,449,0,13
450,450,0,3
451,451,0,11
452,452,0,9
453,453,0,26
454,454,0,8
455,455,0,7
456,456,0,18
457,457,0,2
458,458,0,8
459,459,0,12
460,460,0,16
461,461,0,12
462,462,0,18
463,463,0,10
464,464,0,13
465,465,0,14
466,466,0,21
467,467,0,11
468,468,0,7
469,469,0,17
470,470,0,11
471,471,0,15
472,472,0,20
473,473,0,22
474,474,0,13
475,475,0,16
476,476,0,15
477,477,0,22
478,478,0,20
479,479,0,20
480,480,0,21
481,481,0,13
482,482,0,12
483,483,0,10
484,484,0,14
485,485,0,7
486,486,0,8
487,487,0,14
488,488,0,13
489,489,0,23
490,490,0,6
491,491,0,0
492,492,0,11
493,493,0,8
494,494,0,14
495,495,0,21
496,496,0,15
497,497,0,7
498,498,0,15
499,499,0,7
500,500,0,12
501,501,0,8
502,502,0,6
503,503,0,12
504,504,0,16
505,505,0,16
506,506,0,12
507,507,0,15
508,508,0,21
509,509,0,8
510,510,0,8
511,511,0,6
512,512,0,3
513,513,0,13
514,514,0,12
515,515,0,14
516,516,0,13
517,517,0,15
518,518,0,8
519,519,0,6
520,520,0,4
521,521,0,10
522,522,0,2
523,523,0,9
524,524,0,16
525,525,0,13
526,526,0,7
527,527,0,5
528,528,0,-6
529,529,0,0
530,530,0,6
531,531,0,9
532,532,0,14
533,533,0,9
534,534,0,10
535,535,0,9
536,536,0,0
537,537,0,5
538,538,0,6
539,539,0,7
540,540,0,18
541,541,0,19
542,542,0,10
543,543,0,9
544,544,0,4
545,545,0,12
546,546,0,9
547,547,0,15
548,548,0,11
549,549,0,17
550,550,0,16
551,551,0,13
552,552,0,4
553,553,0,11
554,554,0,6
555,555,0,11
556,556,0,22
557,557,0,19
558,558,0,25
559,559,0,7
560,560,0,13
561,561,0,-2
562,562,0,12
563,563,0,19
564,564,0,20
565,565,0,24
566,566,0,32
567,567,0,22
568,568,0,22
569,569,0,14
570,570,0,16
571,571,0,18
572,572,0,5
573,573,0,18
574,574,0,14
575,575,0,16
576,576,0,4
577,577,0,11
578,578,0,8
579,579,0,15
580,580,0,14
581,581,0,11
582,582,0,5
583,583,0,16
584,584,0,9
585,585,0,11
586,586,0,14
587,587,0,16
588,588,0,21
589,589,0,7
590,590,0,9
591,591,0,6
592,592,0,7
593,593,0,6
594,594,0,9
595,595,0,5
596,596,0,7
597,597,0,11
598,598,0,4
599,599,0,8
600,600,0,9
601,601,0,6
602,602,0,8
603,603,0,8
604,604,0,14
605,605,0,13
606,606,0,6
607,607,0,2
608,608,0,11
609,609,0,6
610,610,0,7
611,611,0,16
612,612,0,10
613,613,0,13
614,614,0,10
615,615,0,14
616,616,0,3
617,617,0,19
618,618,0,16
619,619,0,9
620,620,0,8
621,621,0,14
622,622,0,10
623,623,0,19
624,624,0,16
625,625,0,10
626,626,0,5
627,627,0,12
628,628,0,14
629,629,0,14
630,630,0,12
631,631,0,17
632,632,0,11
633,633,0,13
634,634,0,11
635,635,0,22
636,636,0,10
637,637,0,11
638,638,0,12
639,639,0,9
640,640,0,15
641,641,0,12
642,642,0,14
643,643,0,13
644,644,0,5
645,645,0,12
646,646,0,18
647,647,0,23
648,648,0,18
649,649,0,17
650,650,0,11
651,651,0,18
652,652,0,18
653,653,0,2
654,654,0,17
655,655,0,21
656,656,0,16
657,657,0,15
658,658,0,12
659,659,0,7
660,660,0,7
661,661,0,14
662,662,0,6
663,663,0,7
664,664,0,7
665,665,0,2
666,666,0,4
667,667,0,9
668,668,0,16
669,669,0,0
670,670,0,11
671,671,0,5
672,672,0,12
673,673,0,17
674,674,0,11
675,675,0,1
676,676,0,0
677,677,0,1
678,678,0,6
679,679,0,15
680,680,0,13
681,681,0,26
682,682,0,12
683,683,0,18
684,684,0,5
685,685,0,21
686,686,0,14
687,687,0,0
688,688,0,3
689,689,0,-2
690,690,0,7
691,691,0,14
692,692,0,17
693,693,0,7
694,694,0,3
695,695,0,2
696,696,0,7
697,697,0,6
698,698,0,11
699,699,0,15
700,700,0,10
701,701,0,22
702,702,0,11
703,703,0,13
704,704,0,10
705,705,0,11
706,706,0,13
707,707,0,14
708,708,0,10
709,709,0,24
710,710,0,15
711,711,0,14
712,712,0,19
713,713,0,20
714,714,0,26
715,715,0,23
716,716,0,19
717,717,0,14
718,718,0,11
719,719,0,16
720,720,0,22
721,721,0,15
722,722,0,16
723,723,0,17
724,724,0,15
725,725,0,14
726,726,0,8
727,727,0,22
728,728,0,9
729,729,0,16
730,730,0,16
731,731,0,13
732,732,0,9
733,733,0,13
734,734,0,17
735,735,0,22
736,736,0,22
737,737,0,14
738,738,0,11
739,739,0,16
740,740,0,9
741,741,0,10
742,742,0,22
743,743,0,19
744,744,0,7
745,745,0,6
746,746,0,9
747,747,0,7
748,748,0,3
749,749,0,4
750,750,0,-2
751,751,0,2
752,752,0,11
753,753,0,2
754,754,0,4
755,755,0,7
756,756,0,5
757,757,0,11
758,758,0,13
759,759,0,6
760,760,0,-2
761,761,0,-6
762,762,0,3
763,763,0,5
764,764,0,5
765,765,0,11
766,766,0,-1
767,767,0,3
768,768,0,3
769,769,0,13
770,770,0,17
771,771,0,14
772,772,0,3
773,773,0,-1
774,774,0,-2
775,775,0,1
776,776,0,8
777,777,0,8
778,778,0,12
779,779,0,12
780,780,0,23
781,781,0,14
782,782,0,19
783,783,0,13
784,784,0,16
785,785,0,9
786,786,0,8
787,787,0,16
788,788,0,10
789,789,0,4
790,790,0,11
791,791,0,13
792,792,0,13
793,793,0,18
794,794,0,19
795,795,0,27
796,796,0,19
797,797,0,26
798,798,0,24
799,799,0,17
800,800,0,12
801,801,0,10
802,802,0,9
803,803,0,6
804,804,0,30
805,805,0,22
806,806,0,20
807,807,0,22
808,808,0,27
809,809,0,21
810,810,0,16
811,811,0,16
812,812,0,9
813,813,0,13
814,814,0,16
815,815,0,13
816,816,0,21
817,817,0,10
818,818,0,16
